epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,41212,0.8803,1.13873,1.02587,0.45748,0.1819,0.16087,0.10397,1.25602,1.97467,1.19566,0.005842,0.005842,0.005842
44,42236.8,0.86286,1.1096,1.01659,0.45858,0.18186,0.16348,0.1057,1.25457,1.9698,1.19522,0.005743,0.005743,0.005743
45,43151.8,0.87068,1.11062,1.02168,0.44057,0.18219,0.16499,0.10644,1.25375,1.96527,1.19515,0.005644,0.005644,0.005644
46,44083.4,0.86298,1.10327,1.01314,0.46264,0.1797,0.16554,0.10721,1.25212,1.96242,1.19507,0.005545,0.005545,0.005545
47,45005.3,0.85693,1.0836,1.01726,0.44255,0.18029,0.16748,0.10858,1.24946,1.95734,1.19397,0.005446,0.005446,0.005446
48,45948.1,0.85543,1.09183,1.01538,0.44017,0.18188,0.16826,0.10864,1.24544,1.95437,1.19208,0.005347,0.005347,0.005347
49,46837.7,0.85198,1.09144,1.01338,0.44346,0.17958,0.16867,0.10887,1.24514,1.95076,1.19191,0.005248,0.005248,0.005248
50,47734.4,0.84619,1.07776,1.01366,0.46504,0.18104,0.16997,0.10989,1.24294,1.94568,1.19117,0.005149,0.005149,0.005149
51,48653.5,0.82968,1.06391,1.008,0.46912,0.18146,0.17148,0.11088,1.24119,1.94221,1.19035,0.00505,0.00505,0.00505
52,49540,0.83581,1.06562,1.01403,0.47197,0.17957,0.17181,0.11119,1.23732,1.9366,1.18792,0.004951,0.004951,0.004951
53,50436.5,0.81899,1.04798,1.00236,0.47521,0.17873,0.17323,0.11197,1.23642,1.92826,1.18784,0.004852,0.004852,0.004852
54,51317.2,0.82155,1.04267,0.99994,0.47809,0.17793,0.17382,0.11238,1.23348,1.92354,1.18691,0.004753,0.004753,0.004753
55,52177.4,0.81746,1.04945,1.00059,0.47945,0.17791,0.17519,0.11313,1.2309,1.91902,1.18486,0.004654,0.004654,0.004654
56,53039.9,0.82503,1.04368,1.00108,0.50106,0.17692,0.17648,0.1141,1.22844,1.91262,1.18358,0.004555,0.004555,0.004555
57,53926,0.78906,0.98929,0.98725,0.50711,0.17735,0.17826,0.11532,1.22644,1.90869,1.18263,0.004456,0.004456,0.004456
58,54795.8,0.79932,1.0055,0.9886,0.50754,0.1782,0.17961,0.11612,1.22462,1.90335,1.18145,0.004357,0.004357,0.004357
59,55675.6,0.78793,1.00407,0.98861,0.50813,0.17677,0.18099,0.11693,1.22287,1.89757,1.18017,0.004258,0.004258,0.004258
60,56563.7,0.8004,1.02028,0.99597,0.53151,0.17741,0.18268,0.11796,1.21854,1.89428,1.17793,0.004159,0.004159,0.004159
61,57452.9,0.79284,0.99409,0.98702,0.5318,0.1776,0.18359,0.11896,1.21543,1.88931,1.17564,0.00406,0.00406,0.00406
62,58369.9,0.78067,0.98831,0.98982,0.53399,0.17638,0.18551,0.12042,1.21287,1.88368,1.17448,0.003961,0.003961,0.003961
63,59254.9,0.78307,0.99195,0.98655,0.53384,0.17697,0.18756,0.12189,1.2111,1.87714,1.17349,0.003862,0.003862,0.003862
64,60118.7,0.77764,0.98141,0.98704,0.53753,0.17608,0.18895,0.12304,1.20928,1.87242,1.17279,0.003763,0.003763,0.003763
65,60968.7,0.7842,0.98729,0.99211,0.53991,0.17747,0.19157,0.1246,1.20769,1.86851,1.17157,0.003664,0.003664,0.003664
66,61835,0.75988,0.96841,0.98412,0.54292,0.17908,0.19291,0.12561,1.20516,1.8631,1.17004,0.003565,0.003565,0.003565
67,62677.6,0.75015,0.94942,0.97609,0.51738,0.18145,0.19374,0.12637,1.20217,1.85707,1.16852,0.003466,0.003466,0.003466
68,63506.4,0.75815,0.95816,0.97776,0.54371,0.18224,0.1948,0.12742,1.20163,1.85226,1.16803,0.003367,0.003367,0.003367
69,64328.1,0.74414,0.94439,0.96889,0.52577,0.18361,0.19588,0.12811,1.1995,1.84299,1.16691,0.003268,0.003268,0.003268
70,65155.7,0.74461,0.92831,0.97576,0.46781,0.18602,0.19803,0.12978,1.19754,1.83711,1.16603,0.003169,0.003169,0.003169
71,65967.6,0.7402,0.94324,0.96696,0.46577,0.1869,0.19896,0.13067,1.19632,1.8291,1.16568,0.00307,0.00307,0.00307
72,66821.4,0.73786,0.93128,0.977,0.47052,0.18781,0.20072,0.13183,1.19438,1.82158,1.16518,0.002971,0.002971,0.002971
73,67645.6,0.72909,0.91806,0.96875,0.48414,0.18928,0.20197,0.13282,1.19241,1.81397,1.16454,0.002872,0.002872,0.002872
74,68469.1,0.72143,0.91245,0.9685,0.48587,0.19035,0.20355,0.13416,1.19156,1.80905,1.1637,0.002773,0.002773,0.002773
75,69274.9,0.71802,0.89582,0.96763,0.50713,0.19074,0.20525,0.13556,1.19002,1.80149,1.16294,0.002674,0.002674,0.002674
76,70087.6,0.71656,0.9037,0.96488,0.46154,0.19627,0.20653,0.13637,1.18917,1.79508,1.1619,0.002575,0.002575,0.002575
77,70895.3,0.70977,0.88718,0.9618,0.4617,0.19601,0.20813,0.13782,1.1865,1.78955,1.16055,0.002476,0.002476,0.002476
78,71702.8,0.69862,0.87567,0.95679,0.48374,0.19792,0.21023,0.13912,1.18529,1.78534,1.15958,0.002377,0.002377,0.002377
79,72516.1,0.70995,0.89053,0.96282,0.48736,0.20124,0.21233,0.14083,1.18519,1.77843,1.15822,0.002278,0.002278,0.002278
80,73312.5,0.6904,0.87472,0.95719,0.48966,0.20199,0.2143,0.14269,1.18319,1.77456,1.15689,0.002179,0.002179,0.002179
81,74136.7,0.68202,0.8576,0.95449,0.48807,0.20455,0.21586,0.14376,1.18231,1.76954,1.15579,0.00208,0.00208,0.00208
82,74988.8,0.69689,0.89087,0.96211,0.49148,0.20466,0.21874,0.14568,1.18115,1.76202,1.15537,0.001981,0.001981,0.001981
83,75832.9,0.68019,0.84487,0.95222,0.49015,0.20663,0.22015,0.14713,1.1787,1.75635,1.15355,0.001882,0.001882,0.001882
84,76646.3,0.66739,0.83174,0.95061,0.48968,0.20953,0.22226,0.14868,1.1776,1.7526,1.15288,0.001783,0.001783,0.001783
85,77454.8,0.66746,0.82742,0.94985,0.47335,0.21051,0.22432,0.15025,1.17458,1.74694,1.1512,0.001684,0.001684,0.001684
86,78280.2,0.65265,0.83065,0.94297,0.46322,0.21512,0.22725,0.15274,1.17293,1.74199,1.15039,0.001585,0.001585,0.001585
87,79121.5,0.6551,0.81177,0.94462,0.42452,0.22104,0.22892,0.15375,1.17174,1.73492,1.14952,0.001486,0.001486,0.001486
88,79935.8,0.65279,0.81685,0.94496,0.42955,0.22511,0.23502,0.15895,1.16942,1.72703,1.14831,0.001387,0.001387,0.001387
89,80761.6,0.65435,0.81428,0.94782,0.44709,0.22534,0.23662,0.15999,1.16774,1.7204,1.14687,0.001288,0.001288,0.001288
90,81583,0.6436,0.80174,0.94265,0.44198,0.22753,0.23876,0.16174,1.16664,1.71515,1.14618,0.001189,0.001189,0.001189
91,82405.8,1.19629,1.60965,1.24899,0.44689,0.22713,0.24073,0.16317,1.16492,1.70794,1.14487,0.00109,0.00109,0.00109
92,83217.8,1.16086,1.54447,1.21779,0.45317,0.2276,0.24252,0.16458,1.1639,1.69822,1.14406,0.000991,0.000991,0.000991
93,83998,1.14972,1.51105,1.21833,0.45595,0.22969,0.24414,0.16585,1.16035,1.68856,1.14159,0.000892,0.000892,0.000892
94,84814.6,1.13008,1.48424,1.21234,0.46213,0.23115,0.24667,0.16786,1.15695,1.67783,1.13964,0.000793,0.000793,0.000793
95,85589.1,1.11941,1.47164,1.20316,0.468,0.23352,0.24966,0.16989,1.15427,1.66855,1.1378,0.000694,0.000694,0.000694
96,86397.4,1.10699,1.44443,1.20107,0.46847,0.23766,0.25241,0.17178,1.15264,1.6595,1.13645,0.000595,0.000595,0.000595
97,87212.9,1.09825,1.40357,1.18796,0.47307,0.23547,0.25509,0.17431,1.15016,1.65106,1.13553,0.000496,0.000496,0.000496
98,88020.4,1.09135,1.40773,1.17837,0.49645,0.23636,0.25805,0.17644,1.14822,1.64318,1.13443,0.000397,0.000397,0.000397
99,88839.9,1.08919,1.38301,1.18565,0.49951,0.2475,0.26025,0.17815,1.1449,1.63576,1.13314,0.000298,0.000298,0.000298
100,89632.3,1.07754,1.37003,1.17922,0.50042,0.24816,0.26213,0.17935,1.14314,1.6274,1.13232,0.000199,0.000199,0.000199
